a_acc,a_don,b_rotN,density,logP(o/w),logS,rings,Weight,Activity_value
7,1,11,0.87656951,1.0470001,-3.1830299,3,511.61899,0
5,1,5,0.9070313,0.375,-3.4146099,3,349.31598,0
8,2,10,0.92074019,1.4227999,-5.2530298,4,504.33398,0
9,2,11,0.88688952,0.49079999,-4.8696699,4,494.89899,0
8,2,10,0.91168243,0.98379999,-4.8137202,4,487.879,0
5,2,10,0.81380159,2.1819999,-3.9940801,3,438.48398,0
6,4,10,0.83109874,2.7260001,-4.4506798,4,436.46799,0
5,2,10,0.82045192,2.2720001,-4.3446898,4,450.495,0
6,2,10,0.81714702,2.28353,-3.8117499,4,462.50598,0
3,2,4,0.77158314,1.033,-1.13613,2,247.342,0
5,1,5,0.90740716,2.286,-5.4854102,4,431.82999,0
6,1,4,0.81834471,0.086999997,-2.6012299,5,365.44098,0
8,1,7,0.86337441,-0.54900002,-4.4302502,5,477.479,0
7,6,7,0.98967749,-1.633,-1.55621,3,420.51099,0
5,3,4,0.79827636,2.42853,-3.6615601,4,323.39999,0
5,3,3,0.80599427,1.99853,-3.45979,4,309.37299,0
5,4,5,0.89933687,3.05829,-4.1758699,4,381.40198,0
5,4,5,0.91154838,2.6162901,-3.9741001,4,367.375,0
5,3,2,0.82818145,1.59953,-3.0650401,4,286.33499,0
6,0,9,0.95220077,2.78929,-2.88673,3,495.51898,0
4,2,12,0.70770389,4.9780002,-3.2279201,3,414.68198,0
4,2,12,0.70770389,4.9780002,-3.2279201,3,414.68198,0
2,0,3,0.71154594,3.5350001,-3.0993199,3,254.377,0
4,2,4,0.74022055,4.1420002,-4.2439299,4,334.46698,0
4,1,5,0.84516007,4.5487599,-4.7704902,4,401.43198,0
2,0,4,0.72095543,3.8859999,-3.40082,4,280.41501,0
4,0,4,0.73712325,4.6729999,-6.5345201,5,382.51099,0
4,2,4,0.7492004,3.7845299,-3.5859499,4,306.41299,0
4,2,4,0.7492004,3.6259999,-3.6171501,4,306.41299,0
3,0,4,0.78381234,4.0855298,-5.4201198,5,364.517,0
4,0,4,0.77457154,4.0739999,-4.1893301,5,361.44498,0
4,0,4,0.74298519,2.819,-4.0839701,4,318.42398,0
3,0,4,0.73571682,3.4300001,-3.8245499,4,334.46698,0
3,0,4,0.74667019,3.464,-4.2701201,4,335.45099,0
5,0,5,0.78131157,3.8280599,-4.4711099,5,415.565,0
2,0,3,0.71535403,3.276,-2.7859299,3,240.34999,0
5,2,7,0.94719654,0.49876001,-3.3155799,3,449.49399,0
5,2,7,0.94719654,0.49876001,-3.3155799,3,449.49399,0
5,2,7,0.94719654,0.49876001,-3.3155799,3,449.49399,0
5,2,7,0.93529701,0.94076002,-3.8308001,3,463.521,0
3,1,5,0.79222715,2.3800001,-4.3568001,4,375.42798,0
4,1,5,0.80775428,1.55553,-3.0674601,4,376.41599,0
4,1,5,0.80775428,1.147,-3.09866,4,376.41599,0
4,1,5,0.80775428,1.34253,-3.09866,4,376.41599,0
5,2,5,0.80775428,1.36,-4.80828,4,376.41599,0
2,1,0,0.85036051,1.737,-1.8378201,3,223.707,0
5,1,4,0.84599632,2.1229999,-4.9106898,5,412.51401,0
3,3,1,0.79809964,2.585,-4.54919,4,422.52899,0
4,1,6,0.8250528,2.391,-4.2801499,3,340.354,0
6,2,8,1.0142608,1.1918401,-4.0866199,3,483.439,0
7,2,8,0.99467182,-1.6372401,-4.5062399,4,518.47296,0
3,2,6,0.82447731,1.022,-1.6385,2,313.41699,0
3,3,4,0.76091295,5.9289999,-8.2354097,4,376.58099,0
6,4,14,0.83524537,4.9910002,-6.1517301,4,612.19501,0
9,2,11,0.87892336,0.3418,-4.8717999,4,508.92599,0
8,2,10,0.92074019,1.4227999,-5.2530298,4,504.33398,0
9,2,11,0.88688952,0.49079999,-4.8696699,4,494.89899,0
8,2,10,0.91168243,0.98379999,-4.8137202,4,487.879,0
4,3,4,0.84426147,1.96,-3.4247899,4,373.42798,0
5,3,3,0.87045473,1.075,-3.2383699,4,375.39999,0
4,3,3,0.78599894,2.6860001,-4.6635399,4,493.65198,0
6,3,5,0.84992164,2.29706,-4.0960498,5,364.388,0
6,3,4,0.85170609,1.9460599,-3.7945499,4,338.35001,0
6,4,5,0.86004275,0.66553003,-1.0933599,3,314.328,0
6,2,7,0.87334794,0.90399998,-4.4077601,4,426.47998,0
6,2,6,0.87766284,0.47,-4.0572,4,416.48499,0
5,3,8,0.82898611,2.0610001,-3.75966,4,426.492,0
6,3,7,0.85116714,1.176,-3.57324,4,428.46399,0
4,2,0,0.81263727,3.372,-2.8940101,2,318.36899,0
2,1,4,0.87615174,4.4749999,-5.2954202,3,381.90298,0
3,1,5,0.77431285,2.95,-3.8439701,4,382.508,0
5,4,9,0.78008449,3.3280001,-3.8540399,3,424.54099,0
4,0,5,0.94304067,2.03076,-4.2445502,4,477.52298,0
5,2,2,0.86963469,0.67699999,-2.8395901,4,361.37299,0
5,1,4,0.84730607,1.443,-4.3583102,4,386.47598,0
7,1,3,0.82114321,1.546,-7.2165699,6,473.53699,0
7,2,7,0.81511396,1.163,-6.4573102,5,492.57999,0
5,0,3,0.90138793,2.9330599,-5.0012898,4,374.85599,0
5,0,3,0.88869005,2.49406,-4.5619798,4,358.401,0
5,0,3,0.85296237,2.3410599,-4.2670002,4,340.41101,0
5,0,4,0.98941606,3.13082,-5.4580598,4,412.371,0
3,2,20,0.7326445,5.6760001,-6.5509701,0,400.62399,0
2,1,1,0.82649457,2.927,-4.4327798,4,342.82999,0
5,2,9,0.82402605,1.579,-5.2792201,4,465.57401,0
3,1,3,0.83126372,2.3659999,-4.4784498,3,313.37698,0
2,2,7,0.71617556,5.5970001,-9.2360697,2,391.55499,0
1,0,5,0.67849219,4.8790002,-7.63414,1,284.44299,0
0,0,2,0.68800598,5.6199999,-4.0913701,3,277.41098,0
2,0,0,0.74944061,2.737,-5.6196098,4,312.453,0
1,0,1,0.72384429,1.375,-0.52618003,2,163.244,0
8,3,10,0.81475973,5.0050001,-6.8822398,9,810.98895,0
0,0,0,0.75629216,3.763,-3.5727401,4,250.325,0
4,3,0,0.81359798,2.9920001,-2.9646001,4,283.327,0
4,1,2,0.901169,2.714,-4.11938,4,375.354,0
4,0,6,0.82194376,3.734,-5.2093301,4,457.521,0
4,0,6,0.82825184,4.026,-5.3090601,5,469.53198,0
4,0,8,0.82194376,3.694,-4.9584498,4,457.521,0
4,2,9,0.89386082,2.3510001,-3.0481901,3,427.49698,0
3,1,1,0.93579298,2.6445301,-3.3426099,4,336.29199,0
3,2,1,0.762568,3.05,-2.4202299,3,269.34399,0
2,1,0,0.76438302,1.834,-1.33977,3,218.29999,0
3,1,5,0.81808472,2.6470001,-3.2256401,3,346.862,0
4,0,6,0.77018404,3.9070001,-5.1930199,5,447.57898,0
5,2,10,0.86151475,4.5250001,-5.21946,3,465.37698,0
5,4,10,0.86144847,2.369,-4.11198,3,445.466,0
7,1,6,0.88191891,0.49700001,-4.9735699,5,469.51999,0
4,0,6,0.82194376,3.658,-5.2093301,4,457.521,0
4,0,6,0.82825184,3.95,-5.3090601,5,469.53198,0
4,0,8,0.82194376,3.618,-4.9584498,4,457.521,0
4,0,8,0.81598091,4.0599999,-5.1602201,4,471.54797,0
4,0,8,0.79477781,3.4300001,-4.6634698,4,439.53098,0
2,2,2,0.77570653,2.6029999,-2.71944,2,212.256,0
4,1,1,0.80370671,3.5699999,-3.95771,4,293.32599,0
1,3,2,0.73915392,3.697,-5.0991402,3,287.366,0
8,9,24,1.0866181,-2.5050001,-12.03321,6,1322.192,0
2,1,6,0.72293788,4.0320001,-3.6041501,2,288.435,0
2,1,6,0.72293788,4.0320001,-3.6041501,2,288.435,0
1,0,6,0.69338948,9.9280005,-10.62474,5,431.53799,0
0,0,1,0.67246038,3.8659999,-3.81126,2,154.21199,0
2,0,2,0.71470571,6.277,-2.5283799,2,206.33299,0
1,1,1,0.82121944,1.707,-1.96236,2,196.681,0
6,0,7,0.82340902,3.286,-5.0615602,5,525.66998,0
6,0,9,0.82324439,2.5120001,-4.5091801,4,499.63199,0
1,1,1,0.72453374,2.2980001,-3.1059501,3,212.29599,0
5,1,8,0.77400208,1.517,-3.23105,4,413.56598,0
4,2,8,0.78730428,7.1719999,-7.3530502,6,524.617,0
7,5,16,0.79353672,3.3139999,-7.68398,5,670.85498,0
2,2,0,0.78737974,1.7819999,-2.2056501,3,214.26799,0
1,1,0,0.74519885,2.4430001,-2.7831099,3,198.269,0
0,0,0,1.1119961,4.7150002,-4.85076,3,279.10001,0
6,2,7,0.93209648,1.776,-5.50666,3,443.927,0
1,0,3,0.81207567,5.2820001,-4.9607501,2,300.27298,0
2,1,2,0.76900572,5.71,-5.0444598,5,378.491,0
4,0,6,0.77453232,3.609,-4.7191,5,433.552,0
4,0,8,0.76696128,3.277,-4.3684902,4,421.54099,0
4,1,8,0.80698979,4.3080001,-5.4100599,4,493.00699,0
4,2,7,0.77390862,3.79,-4.1251402,3,350.418,0
6,4,11,0.80683833,3.427,-4.7926698,3,459.58698,0
3,1,4,0.79375362,2.5780001,-2.56672,3,275.34799,0
6,1,6,0.92564183,0.82999998,-4.6058302,3,412.89798,0
4,1,5,0.91318506,2.224,-5.19943,3,369.25198,0
5,0,8,0.79062355,3.1949999,-5.1098499,6,516.64197,0
5,0,10,0.78445423,2.8629999,-4.7592402,5,504.63098,0
3,1,1,0.89672655,2.2625301,-3.9734299,4,318.302,0
1,0,0,0.71950752,3.3310001,-3.2843499,4,264.37201,0
3,1,1,0.89672655,2.04953,-2.7363701,4,318.302,0
5,0,8,0.78027469,2.0450001,-3.1103499,4,422.52899,0
8,6,4,0.7385326,0.722,-0.83418,3,502.79599,0
5,1,4,0.82102782,0.33000001,-3.49788,4,311.345,0
3,2,9,0.93162632,5.38942,-5.3947902,2,414.32599,0
4,1,5,0.82364154,3.1059999,-5.1901598,4,437.931,0
4,0,5,0.83708316,0.537,-2.39609,4,396.42599,0
2,0,1,0.74944061,3.3010001,-6.0156002,4,314.46899,0
5,0,6,0.78691238,7.4429998,-9.1589003,5,473.56,0
6,2,11,0.84535944,2.7130001,-4.48983,3,445.53998,0
6,2,11,0.83824694,3.155,-4.6915998,3,459.56699,0
8,2,7,0.83253211,0.588,-3.5849299,5,479.53699,0
4,0,3,0.82783943,3.1110001,-3.5059199,5,422.91998,0
5,0,7,0.81327569,4.6420002,-8.9704599,7,583.70898,0
7,1,8,0.88346845,2.0097599,-3.7878599,5,533.55499,0
6,0,8,0.86615032,1.99376,-3.3640001,5,519.57196,0
4,3,7,0.86760098,2.017,-4.5370698,4,381.827,0
5,3,7,0.82952142,0.45100001,-2.8580301,4,362.397,0
5,3,7,0.86154431,0.94499999,-3.99733,4,395.39798,0
5,3,8,0.85937065,1.296,-4.9257302,5,421.436,0
5,3,7,0.82970339,0.75700003,-3.7023499,4,377.40799,0
5,3,8,0.82950884,1.108,-4.6307502,5,403.44598,0
5,1,5,0.81163442,3.391,-5.9439902,5,436.58398,0
4,2,6,0.82902163,3.03,-6.0613999,5,463.509,0
4,2,6,0.81589276,1.666,-3.8806601,5,373.41998,0
5,2,6,0.83381027,1.109,-4.1647301,5,372.392,0
4,2,7,0.82916176,2.5610001,-5.6757598,4,437.47098,0
6,5,8,0.85349512,0.94800001,-5.1518002,4,455.94998,0
6,4,11,0.94188434,3.1229999,-6.0072398,4,594.453,0
3,0,3,0.83650488,3.6730001,-5.1998901,5,416.94498,0
