a_acc,a_don,b_rotN,density,logP(o/w),logS,rings,Weight
17,5,52,0.80151784,1.4344,-8.0305405,3,1145.3989
13,5,40,0.79525387,2.75544,-7.45998,3,969.18695
17,5,52,0.80151784,1.4344,-8.0305405,3,1145.3989
13,5,40,0.78487068,2.75544,-7.45998,3,969.18695
17,5,52,0.7924782,1.4344,-8.0305405,3,1145.3989
10,5,31,0.78632247,3.7462201,-7.0320601,3,837.02795
12,5,37,0.79090238,3.0857,-7.3173399,3,925.13397
10,5,31,0.78632247,3.7462201,-7.0320601,3,837.02795
12,5,37,0.79090238,3.0857,-7.3173399,3,925.13397
10,5,31,0.78632247,3.7462201,-7.0320601,3,837.02795
12,5,37,0.79090238,3.0857,-7.3173399,3,925.13397
10,5,31,0.78632247,3.7462201,-7.0320601,3,837.02795
12,5,37,0.79090238,3.0857,-7.3173399,3,925.13397
10,5,31,0.78240663,3.7462201,-7.0320601,3,837.02795
12,5,37,0.78728914,3.0857,-7.3173399,3,925.13397
10,5,31,0.78240663,3.7462201,-7.0320601,3,837.02795
12,5,37,0.78728914,3.0857,-7.3173399,3,925.13397
10,5,31,0.78240663,3.7462201,-7.0320601,3,837.02795
12,5,37,0.78728914,3.0857,-7.3173399,3,925.13397
10,5,31,0.78240663,3.7462201,-7.0320601,3,837.02795
12,5,37,0.78728914,3.0857,-7.3173399,3,925.13397
10,5,31,0.77477825,3.7462201,-7.0320601,3,837.02795
12,5,37,0.78023434,3.0857,-7.3173399,3,925.13397
10,5,31,0.77477825,3.7462201,-7.0320601,3,837.02795
12,5,37,0.78023434,3.0857,-7.3173399,3,925.13397
10,5,31,0.7710622,3.7462201,-7.0320601,3,837.02795
12,5,37,0.77679002,3.0857,-7.3173399,3,925.13397
10,5,31,0.7710622,3.7462201,-7.0320601,3,837.02795
12,5,37,0.77679002,3.0857,-7.3173399,3,925.13397
13,5,40,0.79290468,2.75544,-7.45998,3,969.18695
17,5,52,0.79947782,1.4344,-8.0305405,3,1145.3989
13,5,40,0.79290468,2.75544,-7.45998,3,969.18695
17,5,52,0.79947782,1.4344,-8.0305405,3,1145.3989
13,5,40,0.78262752,2.75544,-7.45998,3,969.18695
17,5,52,0.79051745,1.4344,-8.0305405,3,1145.3989
4,1,9,0.75056672,6.0609999,-5.2649202,5,477.69699
4,1,9,0.79207242,7.8959198,-6.70402,6,563.737
5,3,6,0.79088986,4.1999998,-4.7470002,2,354.40198
7,3,7,0.93063933,-1.0612,-1.57631,2,315.26999
3,1,0,0.78154951,6.171,-6.94344,6,486.69299
3,0,2,0.7647661,6.0549998,-8.0189199,5,500.72
4,2,6,0.9947235,5.1069999,-8.3051205,3,516.19702
7,5,7,0.91420811,4.9699998,-8.9185896,4,607.48901
6,2,4,1.0079843,-1.122,-1.13893,2,338.68399
6,3,8,0.93037075,0.89573997,-3.0072601,2,360.802
7,4,7,1.0849681,-1.15134,-0.70874,2,339.19501
8,5,7,1.0856594,-1.18534,-0.71414,2,369.22101
12,7,6,1.2284598,-3.2379401,-0.63433999,3,471.151
8,6,16,0.8058694,5.7919998,-9.9483995,7,762.91199
8,6,16,0.81276292,3.152,-5.5537801,7,742.922
5,3,3,0.90962183,-1.79,-0.60654998,2,254.24199
13,7,6,0.99121553,-3.3908801,-4.0862002,6,550.46399
13,7,6,0.99121553,-3.3908801,-4.0862002,6,550.46399
13,7,6,0.99121553,-3.3908801,-4.0862002,6,550.46399
5,3,3,0.91093594,-1.515,-0.79035997,2,239.23099
9,3,28,0.80467868,5.1812801,-9.4644499,2,613.78101
13,5,6,0.89331818,-0.80599999,-4.8126402,8,762.80896
2,1,6,0.7578544,4.7670002,-7.1347599,5,404.55399
2,1,9,0.74671692,6.2649999,-8.3669701,5,446.63498
2,1,6,0.75415498,6.0799999,-8.6314096,6,452.59799
8,6,17,0.8058694,5.658,-9.0459604,7,764.92798
8,6,17,0.80354434,6.1560001,-9.4729004,8,790.966
8,6,16,0.8058694,5.3979998,-9.4648199,7,764.92798
9,6,16,0.81595999,4.546,-8.7815599,7,807.953
9,6,16,0.81453973,5.638,-9.2845602,8,806.96497
8,6,18,0.79368186,7.1199999,-11.0454,7,814.98798
8,6,18,0.81454784,6.5289998,-10.63675,7,821.01599
8,6,16,0.81979764,3.2,-6.1926398,5,662.79199
8,6,17,0.79953051,6.4559999,-10.4969,7,788.95001
10,6,16,0.84920305,4.1139998,-8.9380703,7,800.93799
8,6,17,0.82879221,4.5689998,-8.2103701,6,744.91797
6,5,10,0.79122394,4.0040002,-7.21454,5,512.61401
8,6,12,0.80364579,3.2709999,-7.3302398,6,638.77301
8,6,12,0.80364579,3.2709999,-7.3302398,6,638.77301
8,6,19,0.79265177,6.652,-9.7905798,6,786.93396
9,7,18,0.80318254,4.631,-8.2257404,6,777.927
8,7,18,0.80945516,5.0289998,-8.7250099,6,724.86298
8,7,18,0.80596459,5.4710002,-8.9267797,6,738.89001
10,6,18,0.8376863,4.2199998,-8.6538601,6,816.98096
8,6,17,0.79661542,6.3779998,-10.4969,7,788.95001
8,6,16,0.8122707,4.4959998,-8.0705204,6,712.85199
8,6,18,0.79864818,5.8039999,-9.0668201,6,764.92798
8,6,17,0.79465127,7.7519999,-12.37478,8,839.01001
8,6,18,0.78935659,8.3380003,-12.92328,8,865.04797
8,6,18,0.8044095,4.6919999,-7.0475202,5,710.836
7,5,19,0.79937416,6.5879998,-10.44271,6,791.95001
9,6,18,0.8087486,4.855,-8.9699497,6,763.89996
8,6,16,0.82543546,5.7909999,-9.5397501,7,768.94
9,6,16,0.83573663,3.5209999,-9.0875502,7,784.93896
8,6,17,0.8058694,5.4229999,-8.9205198,7,764.92798
8,6,17,0.8248986,4.9070001,-9.0880899,6,756.92902
9,8,19,0.81759262,3.737,-7.9700899,5,728.85101
8,6,16,0.83000225,8.7239199,-11.99344,10,889.01697
8,6,16,0.8065297,5.8959999,-9.8917599,8,790.966
9,6,16,0.81765443,5.006,-8.7917995,7,766.89996
8,6,16,0.81831419,5.474,-9.9115896,8,778.91101
8,6,18,0.79953051,6.4039998,-9.2892799,7,788.95001
9,6,18,0.8087486,4.855,-8.9699497,6,763.89996
9,6,18,0.80303371,5.447,-10.42898,7,813.95996
9,6,18,0.80303371,5.447,-10.42898,7,813.95996
8,6,18,0.79465127,7.0190001,-11.59552,8,836.99396
8,6,18,0.79465127,7.0190001,-11.59552,8,836.99396
8,6,18,0.78935659,7.7470002,-11.99906,8,865.04797
8,6,18,0.78935659,7.7470002,-11.99906,8,865.04797
8,6,19,0.78685033,8.177,-12.20083,8,879.07495
8,6,17,0.79661542,6.2340002,-9.9569397,7,786.93396
8,6,17,0.79661542,6.2340002,-9.9569397,7,786.93396
10,6,17,0.82223058,5.0029998,-8.9073296,7,796.92596
11,6,17,0.83001769,4.427,-8.9479303,8,838.96295
12,6,17,0.83749771,4.8460002,-9.1956396,8,854.96198
8,6,17,0.79465127,7.3930001,-11.86126,8,836.99396
8,6,19,0.79864818,6.1259999,-9.5284004,6,764.92798
9,6,20,0.83771706,5.5369201,-8.7200899,6,818.92297
10,6,16,0.82955462,4.8520002,-8.9645796,8,794.90997
8,6,17,0.79745054,6.9310002,-11.53405,8,822.96698
8,6,17,0.79745054,6.9310002,-11.53405,8,822.96698
8,6,17,0.79745054,6.9310002,-11.53405,8,822.96698
8,6,17,0.79745054,6.9310002,-11.53405,8,822.96698
8,6,17,0.79556531,7.4060001,-12.5712,9,856.98401
8,6,19,0.85356992,5.4937601,-9.3747997,6,792.85999
8,6,16,0.84082276,6.5029202,-9.71982,8,812.91901
9,6,16,0.8478182,5.9269199,-9.7604198,9,854.95599
8,6,17,0.8011381,6.9819999,-11.0999,9,841.026
8,6,17,0.79654855,6.2399998,-10.4811,7,800.961
8,6,17,0.79745054,7.2880001,-11.94052,8,829.01495
8,6,18,0.79558897,6.348,-9.0641098,6,776.93896
8,6,18,0.8501336,5.3557601,-9.2145796,6,788.828
8,6,17,0.79429227,5.612,-9.0528297,7,762.95599
9,6,16,0.79211599,6.5580001,-10.08744,7,760.94
8,6,17,0.79745054,6.9310002,-11.53405,8,822.96698
9,6,20,0.83771706,5.5369201,-8.7200899,6,818.92297
8,6,17,0.79745054,6.9310002,-11.53405,8,822.96698
8,6,17,0.79806834,6.2340002,-9.9569397,7,786.93396
8,6,17,0.79745054,7.2880001,-11.94052,8,829.01495
8,3,14,0.84695935,3.5039999,-7.8619499,5,690.76697
9,2,16,0.90654528,1.13,-4.4509001,3,627.55896
9,3,19,0.86517745,5.585,-6.3429198,3,789.98199
8,3,11,0.91198838,0.81,-3.7376399,3,529.45801
8,2,14,0.87255752,2.928,-4.80369,3,643.72101
7,6,12,0.77495599,7.677,-10.98502,8,707.87897
9,2,11,0.91907138,-0.43599999,-3.0197001,3,508.42798
9,2,13,0.8932305,0.87699997,-3.7504499,3,550.50897
7,2,12,0.87045527,1.938,-3.8883801,3,507.47998
2,1,8,0.75353086,4.6030002,-6.6064301,4,384.564
2,1,9,0.74223232,5.8039999,-7.21174,4,426.64499
5,4,14,0.74400693,2.0209999,-6.0226898,3,519.68701
5,4,14,0.74228072,2.0209999,-6.0226898,3,519.68701
5,4,14,0.75468475,2.0209999,-6.0226898,3,519.68701
5,4,14,0.75837106,2.0209999,-6.0226898,3,519.68701
5,4,14,0.74750429,2.0209999,-6.0226898,3,519.68701
5,4,14,0.74574804,2.0209999,-6.0226898,3,519.68701
5,4,14,0.75286591,2.0209999,-6.0226898,3,519.68701
5,4,14,0.75468475,2.0209999,-6.0226898,3,519.68701
5,4,14,0.75837106,2.0209999,-6.0226898,3,519.68701
5,4,14,0.76788133,2.0209999,-6.0226898,3,519.68701
5,4,14,0.76594472,2.0209999,-6.0226898,3,519.68701
5,4,14,0.76983565,2.0209999,-6.0226898,3,519.68701
5,4,14,0.75837106,2.0209999,-6.0226898,3,519.68701
5,4,14,0.76023901,2.0209999,-6.0226898,3,519.68701
5,4,14,0.76402563,2.0209999,-6.0226898,3,519.68701
5,4,14,0.77180803,2.0209999,-6.0226898,3,519.68701
5,4,14,0.77379864,2.0209999,-6.0226898,3,519.68701
5,4,14,0.7758078,2.0209999,-6.0226898,3,519.68701
5,4,14,0.77783567,2.0209999,-6.0226898,3,519.68701
5,4,14,0.75837106,2.0209999,-6.0226898,3,519.68701
5,4,14,0.76023901,2.0209999,-6.0226898,3,519.68701
5,4,14,0.76402563,2.0209999,-6.0226898,3,519.68701
5,4,14,0.76212376,2.0209999,-6.0226898,3,519.68701
5,4,14,0.77180803,2.0209999,-6.0226898,3,519.68701
5,4,14,0.77379864,2.0209999,-6.0226898,3,519.68701
5,4,14,0.77783567,2.0209999,-6.0226898,3,519.68701
5,4,14,0.7758078,2.0209999,-6.0226898,3,519.68701
5,4,14,0.7758078,2.0209999,-6.0226898,3,519.68701
5,4,14,0.77988261,2.0209999,-6.0226898,3,519.68701
5,4,14,0.77783567,2.0209999,-6.0226898,3,519.68701
5,4,14,0.79041231,2.0209999,-6.0226898,3,519.68701
5,4,14,0.79257929,2.0209999,-6.0226898,3,519.68701
5,4,14,0.78194886,2.0209999,-6.0226898,3,519.68701
5,4,14,0.79697657,2.0209999,-6.0226898,3,519.68701
5,4,14,0.79476726,2.0209999,-6.0226898,3,519.68701
5,4,14,0.76983565,2.0209999,-6.0226898,3,519.68701
5,4,14,0.77379864,2.0209999,-6.0226898,3,519.68701
5,4,14,0.77180803,2.0209999,-6.0226898,3,519.68701
5,4,14,0.78403467,2.0209999,-6.0226898,3,519.68701
5,4,14,0.78614032,2.0209999,-6.0226898,3,519.68701
5,4,14,0.7758078,2.0209999,-6.0226898,3,519.68701
5,4,14,0.78826612,2.0209999,-6.0226898,3,519.68701
5,4,14,0.79041231,2.0209999,-6.0226898,3,519.68701
5,4,14,0.77379864,2.0209999,-6.0226898,3,519.68701
5,4,14,0.77180803,2.0209999,-6.0226898,3,519.68701
5,4,14,0.78403467,2.0209999,-6.0226898,3,519.68701
5,4,14,0.78614032,2.0209999,-6.0226898,3,519.68701
5,4,14,0.7758078,2.0209999,-6.0226898,3,519.68701
5,4,14,0.78826612,2.0209999,-6.0226898,3,519.68701
5,4,14,0.79041231,2.0209999,-6.0226898,3,519.68701
5,4,14,0.78826612,2.0209999,-6.0226898,3,519.68701
5,4,14,0.79257929,2.0209999,-6.0226898,3,519.68701
5,4,14,0.79041231,2.0209999,-6.0226898,3,519.68701
5,4,14,0.80373561,2.0209999,-6.0226898,3,519.68701
5,4,14,0.80603349,2.0209999,-6.0226898,3,519.68701
5,4,14,0.79476726,2.0209999,-6.0226898,3,519.68701
5,4,14,0.74400693,2.0209999,-6.0226898,3,519.68701
5,4,14,0.74228072,2.0209999,-6.0226898,3,519.68701
5,4,14,0.75468475,2.0209999,-6.0226898,3,519.68701
5,4,14,0.75837106,2.0209999,-6.0226898,3,519.68701
5,4,14,0.74750429,2.0209999,-6.0226898,3,519.68701
5,4,14,0.74574804,2.0209999,-6.0226898,3,519.68701
5,4,14,0.75286591,2.0209999,-6.0226898,3,519.68701
5,4,14,0.75468475,2.0209999,-6.0226898,3,519.68701
5,4,14,0.75837106,2.0209999,-6.0226898,3,519.68701
5,4,14,0.76788133,2.0209999,-6.0226898,3,519.68701
5,4,14,0.76594472,2.0209999,-6.0226898,3,519.68701
5,4,14,0.76983565,2.0209999,-6.0226898,3,519.68701
5,4,14,0.75837106,2.0209999,-6.0226898,3,519.68701
5,4,14,0.76023901,2.0209999,-6.0226898,3,519.68701
5,4,14,0.76402563,2.0209999,-6.0226898,3,519.68701
5,4,14,0.77180803,2.0209999,-6.0226898,3,519.68701
5,4,14,0.77379864,2.0209999,-6.0226898,3,519.68701
5,4,14,0.7758078,2.0209999,-6.0226898,3,519.68701
5,4,14,0.77783567,2.0209999,-6.0226898,3,519.68701
5,4,14,0.75837106,2.0209999,-6.0226898,3,519.68701
5,4,14,0.76023901,2.0209999,-6.0226898,3,519.68701
5,4,14,0.76402563,2.0209999,-6.0226898,3,519.68701
5,4,14,0.76212376,2.0209999,-6.0226898,3,519.68701
5,4,14,0.77180803,2.0209999,-6.0226898,3,519.68701
5,4,14,0.77379864,2.0209999,-6.0226898,3,519.68701
5,4,14,0.77783567,2.0209999,-6.0226898,3,519.68701
5,4,14,0.7758078,2.0209999,-6.0226898,3,519.68701
5,4,14,0.7758078,2.0209999,-6.0226898,3,519.68701
5,4,14,0.77988261,2.0209999,-6.0226898,3,519.68701
5,4,14,0.77783567,2.0209999,-6.0226898,3,519.68701
5,4,14,0.79041231,2.0209999,-6.0226898,3,519.68701
5,4,14,0.79257929,2.0209999,-6.0226898,3,519.68701
5,4,14,0.78194886,2.0209999,-6.0226898,3,519.68701
5,4,14,0.79697657,2.0209999,-6.0226898,3,519.68701
5,4,14,0.79476726,2.0209999,-6.0226898,3,519.68701
5,4,14,0.76983565,2.0209999,-6.0226898,3,519.68701
5,4,14,0.77379864,2.0209999,-6.0226898,3,519.68701
5,4,14,0.77180803,2.0209999,-6.0226898,3,519.68701
5,4,14,0.78403467,2.0209999,-6.0226898,3,519.68701
5,4,14,0.78614032,2.0209999,-6.0226898,3,519.68701
5,4,14,0.7758078,2.0209999,-6.0226898,3,519.68701
5,4,14,0.78826612,2.0209999,-6.0226898,3,519.68701
5,4,14,0.79041231,2.0209999,-6.0226898,3,519.68701
5,4,14,0.76983565,2.0209999,-6.0226898,3,519.68701
5,4,14,0.77379864,2.0209999,-6.0226898,3,519.68701
5,4,14,0.77180803,2.0209999,-6.0226898,3,519.68701
5,4,14,0.78403467,2.0209999,-6.0226898,3,519.68701
5,4,14,0.78614032,2.0209999,-6.0226898,3,519.68701
5,4,14,0.7758078,2.0209999,-6.0226898,3,519.68701
5,4,14,0.78826612,2.0209999,-6.0226898,3,519.68701
5,4,14,0.79041231,2.0209999,-6.0226898,3,519.68701
5,4,14,0.78826612,2.0209999,-6.0226898,3,519.68701
5,4,14,0.79257929,2.0209999,-6.0226898,3,519.68701
5,4,14,0.79041231,2.0209999,-6.0226898,3,519.68701
5,4,14,0.80373561,2.0209999,-6.0226898,3,519.68701
5,4,14,0.80603349,2.0209999,-6.0226898,3,519.68701
5,4,14,0.79476726,2.0209999,-6.0226898,3,519.68701
5,4,14,0.74400693,2.0209999,-6.0226898,3,519.68701
6,3,5,0.86518449,0.2,-2.01283,3,322.36899
1,0,20,0.68931764,9.6490002,-11.04146,1,392.668
5,0,4,0.92359656,0.008,-1.7670701,2,288.23599
5,0,5,0.90725029,0.34900001,-2.09428,2,302.263
4,0,4,1.1018505,2.881,-3.8649299,2,367.15601
4,0,5,1.0771899,3.2219999,-4.1921401,2,381.18298
8,0,12,0.95549268,1.6569999,-3.7988701,2,496.41
8,0,14,0.93397981,2.339,-4.45329,2,524.46399
3,2,7,0.73691541,5.4910002,-7.3696699,5,478.72098
3,2,8,0.73118705,6.0159998,-7.44525,5,492.74799
4,2,10,0.73480761,4.2620001,-6.1540799,4,487.77298
5,2,4,1.1239047,0.55299997,-2.3878701,2,289.08899
15,12,17,1.08296,-5.5139999,0.20309,2,640.36902
12,9,8,1.2208022,-2.81216,-0.55321002,2,550.18402
4,2,12,0.76269156,5.0339999,-5.5006499,1,332.44
4,2,13,0.76269156,4.566,-4.93822,1,334.45599
4,3,12,0.76269156,5.2600002,-5.2866101,1,334.45599
4,3,13,0.76269156,4.7919998,-4.7241802,1,336.47198
3,2,13,0.73563957,5.8070002,-5.7553902,1,320.47299
4,2,10,0.77440882,4.1500001,-4.4702101,1,304.38599
4,2,8,0.78879994,3.266,-3.43977,1,276.332
4,2,9,0.78879994,2.7980001,-2.8773401,1,278.34799
4,2,6,0.806898,2.382,-2.4093299,1,248.278
4,2,7,0.806898,1.914,-1.8469,1,250.29399
6,1,4,0.98261017,-0.55699998,-2.2755201,3,346.29999
7,4,4,1.1682816,-2.187,-0.78244001,2,385.17398
3,1,2,0.86620075,2.3570001,-2.9298799,4,300.74899
3,1,2,0.83563101,2.352,-3.4582,3,314.776
3,1,2,0.84583813,2.244,-2.8143499,3,300.74899
3,1,3,0.83563101,2.78,-3.6166699,3,312.75998
3,1,2,0.85722148,2.493,-2.8301499,3,288.73801
3,1,3,0.84583813,2.9349999,-3.3453701,3,302.76498
3,1,3,0.84583813,2.2880001,-2.99277,3,300.74899
3,1,2,0.84583813,2.3080001,-3.1278,3,300.74899
3,1,2,0.83563101,2.352,-3.1447501,3,314.776
3,1,2,0.80528831,1.767,-2.19559,4,266.30399
3,1,2,0.77777296,1.762,-2.7239101,3,280.33099
4,1,2,0.82714152,0.62900001,-1.9055901,3,268.276
3,1,2,0.78524321,1.654,-2.08006,3,266.30399
3,1,3,0.77777296,2.1900001,-2.88238,3,278.315
3,1,3,0.78524321,1.698,-2.2584801,3,266.30399
3,1,2,0.78524321,1.7180001,-2.3935101,3,266.30399
3,1,2,0.77777296,1.762,-2.41046,3,280.33099
3,1,9,0.71874106,6.9949999,-9.5573196,5,495.79599
3,2,12,0.73563957,5.5669999,-5.8576698,1,318.457
4,2,11,0.77440882,3.6819999,-3.9077799,1,306.40198
8,3,8,0.94345009,-2.7520001,-1.01098,2,358.29099
6,4,6,0.8589955,2.0780001,-2.1665499,2,316.30899
7,1,7,0.92552847,0.33500001,-4.2443399,4,433.37698
10,1,15,0.81782353,5.2054801,-8.9089499,7,706.75201
7,1,6,0.87563837,0.40000001,-3.4541099,4,388.38
7,3,7,0.97188163,-2.02,-2.6947601,3,393.31198
10,3,15,0.83301717,2.8504801,-7.3593702,6,666.68701
7,4,6,0.93040854,-2.6270001,-1.62541,3,363.32999
10,6,6,0.99124283,-2.809,-0.81867999,3,396.31198
3,1,7,1.0654681,6.651,-11.12518,7,824.24799
3,3,7,1.095935,6.651,-11.0764,7,848.672
3,3,7,1.0885531,6.651,-11.0764,7,843.40198
3,1,7,1.0635164,6.651,-11.12518,7,823.039
3,3,7,1.0711207,6.651,-11.0764,7,830.39197
4,2,7,1.0666094,6.651,-11.10079,7,826.04901
3,3,7,1.0793253,6.651,-11.0764,7,836.51202
8,5,15,0.91978997,1.8279999,-4.86902,3,627.70898
8,5,15,0.9023422,1.498,-3.90712,3,585.61499
10,7,4,1.0823809,-3.1070001,-0.45324001,3,363.22299
6,2,7,1.1661649,-0.244,-2.86304,2,452.20099
15,1,24,1.0571678,-1.58578,-5.4345999,3,915.53296
15,1,24,1.0571678,-1.58578,-5.4345999,3,915.53296
16,1,24,0.96429718,-4.6180401,-3.3336201,3,791.61298
12,7,11,1.0097429,-3.9949999,-0.15465,2,466.336
13,8,11,1.2394865,-3.5450001,-1.50493,2,596.21997
13,8,11,1.2394865,-3.5450001,-1.50493,2,596.21997
7,2,8,0.87043226,-0.53100002,-2.79301,3,414.422
8,3,10,0.89656246,-1.997,-1.2603101,2,395.41998
7,2,8,0.88376504,-0.65200001,-2.20961,2,380.405
15,9,12,1.0760573,-7.1869998,1.11893,2,486.327
15,9,11,1.0421016,-5.2999401,-0.31783,3,509.36499
13,9,9,1.1921004,-4.8109999,0.31916001,2,496.151
11,3,15,0.95434511,-2.8194599,-1.53155,2,475.39899
6,4,22,0.78871638,7.9000001,-11.02243,6,894.12695
8,6,19,0.79147768,7.4650002,-10.20823,8,884.09497
8,6,19,0.79147768,7.4650002,-10.20823,8,884.09497
10,4,8,0.98374337,-1.539,-1.79802,3,419.33099
4,2,3,1.0957268,-0.34323999,-1.89477,2,298.19199
1,0,4,0.71623725,8.9510002,-11.58898,5,442.728
10,5,31,0.80129576,3.7462201,-7.0320601,3,837.02795
12,5,37,0.80466729,3.0857,-7.3173399,3,925.13397
13,5,40,0.80613512,2.75544,-7.45998,3,969.18695
14,5,43,0.80748165,2.42518,-7.6026201,3,1013.24
9,3,25,0.87573022,5.7109799,-7.9622698,4,807.88397
6,3,16,0.88304508,6.7017598,-7.5343499,4,675.72498
7,3,19,0.88030529,6.3715,-7.67699,4,719.77802
11,3,31,0.87206215,5.0504599,-8.24755,4,895.98999
13,4,45,0.82581943,5.21944,-10.67007,4,1134.291
13,5,44,0.8083607,3.3294401,-8.2391195,3,1040.266
10,5,35,0.80419183,4.32022,-7.8112001,3,908.10699
12,5,41,0.8070876,3.6596999,-8.0964804,3,996.21295
11,5,39,0.80209935,6.39222,-9.6045399,3,1036.278
13,5,45,0.80481833,5.7316999,-9.8898201,3,1124.384
10,4,36,0.79500109,5.6942201,-8.8823404,3,921.146
12,4,42,0.79858971,5.0337,-9.1676197,3,1009.252
13,4,45,0.80017185,4.7034402,-9.3102598,3,1053.3049
10,4,37,0.79249775,6.13622,-9.3975601,3,935.17297
12,4,43,0.79623234,5.4756999,-9.6828403,3,1023.279
13,4,46,0.79788214,5.1454401,-9.8254805,3,1067.332
12,4,45,0.79173273,6.3597002,-10.71328,3,1051.333
13,4,52,0.78547347,7.7974401,-12.9168,3,1151.494
13,5,46,0.80351025,4.3854399,-8.95611,3,1068.3199
10,4,35,0.79759282,5.2522202,-8.3671198,3,907.11896
12,4,41,0.80102342,4.5917001,-8.6524,3,995.22498
13,4,44,0.80253267,4.2614398,-8.7950401,3,1039.278
10,4,34,0.80027777,4.8102198,-7.8519001,3,893.09198
12,4,40,0.80353719,4.1497002,-8.1371803,3,981.198
13,4,43,0.80496812,3.8194399,-8.2798204,3,1025.251
10,4,33,0.80306107,4.3352199,-7.6501298,3,879.065
12,4,39,0.80613512,3.6747,-7.93541,3,967.17096
13,4,42,0.80748165,3.34444,-8.0780497,3,1011.224
10,4,39,0.78773898,7.0202198,-10.428,3,963.22699
13,4,48,0.79350382,6.0294399,-10.85592,3,1095.386
14,5,48,0.80603188,5.4014401,-10.03246,3,1168.437
11,5,40,0.79974157,6.8342199,-10.43321,3,1050.3049
13,5,46,0.80259442,6.1736999,-10.71849,3,1138.411
14,5,49,0.80386984,5.8434401,-10.86113,3,1182.464
13,7,33,0.83946544,2.85922,-6.8196402,3,917.00696
15,7,39,0.83940196,2.1987,-7.1049199,3,1005.113
16,7,42,0.83937418,1.86844,-7.24756,3,1049.166
18,6,63,0.80092078,8.4729204,-15.10486,3,1361.704
15,6,54,0.79708189,9.4637003,-14.67694,3,1229.5449
17,6,60,0.79972225,8.8031797,-14.96222,3,1317.651
13,5,47,0.80859631,6.6027002,-11.77029,4,1186.411
15,5,53,0.81057364,5.9421802,-12.05557,4,1274.517
16,5,56,0.81146806,5.6119199,-12.19821,4,1318.5699
15,5,48,0.81213856,3.6991799,-9.72964,3,1140.3829
16,5,51,0.81308436,3.3689201,-9.8722801,3,1184.4359
14,6,52,0.8032558,7.8477001,-14.04218,6,1367.605
16,6,58,0.80527073,7.18718,-14.32746,6,1455.7109
14,6,47,0.80385262,5.6047001,-11.71625,5,1233.4709
16,6,53,0.80604291,4.94418,-12.00153,5,1321.577
17,6,56,0.80703801,4.6139202,-12.14417,5,1365.63
13,5,42,0.80800283,4.4807,-9.7143097,4,1086.2939
10,4,35,0.80745065,4.9622202,-8.0467997,3,909.091
12,4,41,0.81007719,4.3017001,-8.3320799,3,997.19696
13,4,44,0.81123167,3.9714401,-8.47472,3,1041.25
12,4,41,0.8275069,5.0537,-8.9780903,3,1031.642
14,4,45,0.82318354,3.9384401,-8.7636204,3,1085.259
13,4,43,0.81984055,4.3947001,-8.6283398,3,1055.233
11,4,34,0.80022895,4.38622,-7.2253799,3,881.08099
13,4,40,0.80353642,3.7256999,-7.5106602,3,969.18695
14,4,43,0.80498588,3.3954401,-7.6532998,3,1013.24
11,4,35,0.79750603,4.7272201,-7.5525899,3,895.10797
13,4,41,0.80098939,4.0667,-7.8378701,3,983.21399
14,4,44,0.8025192,3.7364399,-7.9805102,3,1027.267
12,4,37,0.80195695,4.0559602,-7.3680201,3,925.13397
14,4,43,0.80498588,3.3954401,-7.6532998,3,1013.24
15,4,46,0.80632061,3.0651801,-7.7959399,3,1057.293
13,5,44,0.81189203,4.2976999,-9.15907,3,1082.303
14,6,49,0.80720288,5.4217,-11.16101,4,1229.48
14,6,45,0.80651057,3.7567,-9.6213503,4,1129.3629
14,6,48,0.81117016,4.8586998,-10.06239,3,1181.4359
11,5,40,0.79812956,6.9552202,-10.70316,4,1084.322
12,6,45,0.79654175,7.95822,-12.43515,4,1197.4819
12,6,45,0.79523617,8.0792198,-12.7051,5,1231.499
12,6,44,0.79854912,7.5162201,-11.60648,4,1183.455
14,6,51,0.80065304,7.1767001,-12.45048,3,1251.5709
14,6,51,0.79925764,7.2976999,-12.72043,4,1285.588
16,4,39,0.82456529,6.3362198,-10.27599,6,1179.3719
16,8,40,0.84313339,1.62622,-7.1768298,4,1099.2419
18,4,45,0.82551342,5.6757002,-10.56127,6,1267.478
18,8,46,0.8428117,0.96569997,-7.46211,4,1187.348
19,4,48,0.82594138,5.3454399,-10.70391,6,1311.531
19,8,49,0.84266788,0.63543999,-7.6047502,4,1231.401
16,8,41,0.84019887,2.0682199,-7.3786001,4,1113.2689
16,4,40,0.82214338,6.7782202,-10.47776,6,1193.3989
18,4,46,0.82323939,6.1177001,-10.76304,6,1281.505
18,8,47,0.84009296,1.4076999,-7.6638799,4,1201.375
19,4,49,0.82373482,5.7874398,-10.90568,6,1325.558
19,8,50,0.84004551,1.07744,-7.80652,4,1245.428
15,6,50,0.8082878,5.0324402,-11.31899,3,1209.49
17,6,56,0.81026119,4.3719201,-11.60427,3,1297.5959
18,6,59,0.8111549,4.0416598,-11.74691,3,1341.6489
15,6,50,0.80498326,5.2744398,-11.85889,5,1277.5239
17,6,56,0.80703801,4.6139202,-12.14417,5,1365.63
18,6,59,0.80797434,4.2836599,-12.28681,5,1409.683
11,4,36,0.79487902,4.3689599,-7.8470898,3,909.13501
13,4,42,0.79852456,3.7084401,-8.13237,3,997.24097
14,4,45,0.80012906,3.37818,-8.2750101,3,1041.2939
